Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
400000,1,1,1,3,406,1
550000,1,1,1,3,411,2
570000,1,1,1,3,411,2
575000,1,1,1,3,411,2
580000,1,1,1,3,411,2
650000,1,1,1,3,411,2
240000,1,1,1,3,413,1
560000,3,2,2,1,417,0
370000,1,1,1,3,418,1
370000,1,1,1,3,420,2
390000,1,1,1,3,420,2
395000,1,1,1,3,420,2
400000,1,1,1,3,420,2
347000,1,2,1,3,430,0
349000,2,2,1,3,430,0
349000,2,2,1,3,430,0
360000,2,2,1,3,430,0
370000,2,1,1,3,430,0
375000,2,1,1,3,430,0
375000,2,1,1,3,430,0
380000,2,1,1,3,430,0
390000,2,2,2,3,430,0
398000,2,2,1,3,430,0
399840,2,2,1,3,430,0
600000,1,1,1,3,434,2
495000,1,1,1,3,435,1
510000,1,1,1,3,435,2
710000,1,1,1,3,440,2
595000,1,1,1,3,441,2
600000,1,1,1,3,441,2
610000,1,1,1,3,441,0
630000,1,1,1,3,441,2
650000,1,1,1,3,441,2
665000,1,1,1,3,441,2
680000,1,1,1,3,441,2
682000,1,1,1,3,441,2
683000,1,1,1,3,441,2
683000,1,1,1,3,441,2
683000,1,1,1,3,441,2
683000,1,1,1,3,441,2
700000,1,1,1,3,441,1
700000,1,1,1,3,441,1
710000,1,1,1,3,441,2
710000,1,1,1,3,441,2
710000,1,1,1,3,441,2
710000,1,1,1,3,441,0
710000,1,1,1,3,441,2
720000,1,1,1,3,441,2
734388,1,1,1,3,441,2
740000,1,1,1,3,441,2
750000,1,1,1,3,441,2
750000,1,1,1,3,441,2
760000,1,1,1,3,441,2
850000,1,1,1,3,441,1
1343338,1,1,1,1,441,2
510000,1,1,1,3,446,2
510000,1,1,1,3,446,2
250000,1,1,1,1,450,1
250000,1,1,1,1,450,1
250000,1,1,1,1,450,1
270000,1,1,1,1,450,1
270000,1,1,1,1,450,1
270000,1,1,1,1,450,1
270000,1,1,1,1,450,1
270000,1,1,1,1,450,1
270000,1,1,1,1,450,1
270000,1,1,1,1,450,1
270000,1,1,1,1,450,1
270000,1,1,1,1,450,1
270000,1,1,1,1,450,1
275000,1,1,1,1,450,1
275000,1,1,1,1,450,1
275000,1,1,1,1,450,1
275000,1,1,1,1,450,1
275000,1,1,1,1,450,1
275000,1,1,1,1,450,1
275000,1,1,1,1,450,1
275000,1,1,1,1,450,1
275000,1,1,1,1,450,1
275000,1,1,1,1,450,1
275000,1,1,1,1,450,1
275000,1,1,1,1,450,1
275000,1,1,1,1,450,1
275000,1,1,1,1,450,1
280000,1,1,1,1,450,1
280000,1,1,1,1,450,1
280000,1,1,1,1,450,1
280000,1,1,1,1,450,1
280000,1,1,1,1,450,1
280000,1,1,1,1,450,1
280000,1,1,1,1,450,1
280000,1,1,1,1,450,1
280000,1,1,1,1,450,1
280000,1,1,1,1,450,1
280000,1,1,1,1,450,1
280000,1,1,1,1,450,1
280000,1,1,1,1,450,1
285000,1,1,1,1,450,1
290000,1,1,1,1,450,1
290000,1,1,1,1,450,1
290000,1,1,1,1,450,1
299000,1,1,1,1,450,1
299000,3,2,1,1,450,0
299000,1,1,1,1,450,1
300000,1,1,1,1,450,1
312000,1,1,1,1,450,1
330000,1,1,1,1,450,1
353000,1,1,1,0,450,1
370000,1,1,1,0,450,1
388888,1,1,1,3,450,2
429000,1,1,1,3,450,1
500000,1,1,1,3,450,2
510000,1,1,1,3,450,2
510000,1,1,1,3,450,2
650000,1,1,1,3,450,1
650000,1,1,1,3,450,1
650000,1,1,1,3,450,1
370000,3,2,1,0,451,2
348000,1,1,1,0,452,1
348000,1,1,1,0,452,1
350000,1,1,1,0,452,1
376000,1,1,1,0,452,1
378000,1,1,1,0,452,1
378400,1,1,1,0,452,1
379000,1,1,1,0,452,1
380000,1,1,1,0,452,1
420000,1,1,1,3,455,1
430000,1,1,1,3,455,1
1250000,1,1,1,3,461,2
1250000,1,1,1,3,461,2
550000,1,1,1,3,462,2
579000,1,1,1,3,462,2
579000,1,1,1,3,462,2
580000,1,1,1,3,462,2
590000,1,1,1,3,462,2
590000,1,1,1,3,462,2
595000,1,1,1,3,462,2
600000,1,1,1,3,462,2
600000,1,1,1,3,462,2
600000,1,1,1,3,462,2
605000,1,1,1,3,462,2
610000,1,1,1,3,462,2
610000,1,1,1,3,462,2
610000,1,1,1,3,462,2
610000,1,1,1,3,462,2
618000,1,1,1,3,462,2
618000,1,1,1,3,462,2
618000,1,1,1,3,462,2
619000,1,1,2,3,462,2
620000,1,1,1,3,462,2
620000,1,1,1,3,462,2
625000,1,1,1,3,462,2
630000,1,1,1,3,462,2
630000,1,1,1,3,462,2
630000,1,1,1,3,462,2
630000,1,1,1,3,462,2
640000,1,1,1,3,462,2
640000,1,1,1,3,462,2
645000,1,1,1,3,462,2
650000,1,1,1,3,462,2
650000,1,1,1,3,462,2
650000,1,1,1,3,462,2
650000,1,1,1,3,462,2
650000,1,1,1,3,462,2
650000,1,1,1,3,462,2
650000,1,1,1,1,462,2
650000,1,1,1,3,462,2
650000,1,1,1,3,462,2
660000,1,1,1,3,462,2
660000,1,1,1,3,462,2
666000,1,1,1,3,462,2
325000,1,1,2,1,463,2
590000,1,1,1,3,463,2
1100000,1,1,1,1,463,2
1200000,1,1,1,1,463,1
1200000,1,1,1,1,463,1
400000,1,1,1,3,466,2
425000,1,1,1,3,466,2
510000,1,1,1,3,467,2
650000,1,2,1,3,468,2
282000,1,1,1,3,472,0
298000,1,1,1,3,472,1
820000,1,1,1,3,473,2
830000,1,1,1,3,473,2
830000,1,1,1,3,473,2
830000,1,1,1,3,473,2
830000,1,1,1,3,473,2
850000,1,1,1,3,473,2
860000,1,1,1,3,473,2
885000,1,1,1,3,473,2
440000,1,1,1,3,475,2
390000,1,1,1,1,481,1
400000,1,1,1,1,481,2
470000,2,2,1,3,484,1
490000,1,1,1,3,484,2
553000,2,1,1,3,484,1
500000,2,2,1,1,485,2
486000,2,2,1,3,486,2
490000,2,2,1,3,486,2
500000,2,2,1,3,486,2
505000,1,2,1,1,486,2
515000,1,2,1,1,486,2
595000,1,1,1,3,486,2
345000,2,2,1,3,490,1
470000,1,1,1,1,490,2
488000,1,1,1,1,490,1
565000,1,1,1,3,490,2
495000,1,1,1,3,491,2
510000,1,1,1,3,491,2
515000,1,1,1,3,491,2
650000,1,1,1,3,493,2
880000,1,1,1,3,493,2
454800,2,1,1,3,494,1
467000,1,1,1,3,494,1
300000,1,1,1,1,495,1
369000,1,1,1,0,495,1
370000,1,1,1,0,495,1
403000,2,1,1,0,495,1
408300,1,1,1,0,495,1
410000,2,1,1,0,495,1
420000,1,1,1,0,495,1
520000,1,1,1,3,495,2
520000,1,1,1,3,495,2
835000,1,1,1,3,495,2
595000,1,1,1,3,496,1
625000,1,1,1,3,496,2
650000,1,1,1,3,496,2
650000,1,1,1,3,496,2
650000,1,1,1,3,496,2
498000,1,1,1,3,497,2
530000,1,1,1,3,497,2
350000,2,1,1,0,500,1
395000,1,1,1,3,500,0
399000,1,1,1,1,500,2
400000,1,1,1,3,500,2
400000,1,1,1,3,500,2
405000,1,1,1,3,500,2
430000,1,1,1,3,500,2
430000,1,1,1,3,500,2
